"","stop_words"
"1","a"
"2","abbastanza"
"3","abbia"
"4","abbiamo"
"5","abbiano"
"6","abbiate"
"7","accidenti"
"8","ad"
"9","adesso"
"10","affinche"
"11","agl"
"12","agli"
"13","ahime"
"14","ahimã¨"
"15","ahimè"
"16","ai"
"17","al"
"18","alcuna"
"19","alcuni"
"20","alcuno"
"21","all"
"22","alla"
"23","alle"
"24","allo"
"25","allora"
"26","altre"
"27","altri"
"28","altrimenti"
"29","altro"
"30","altrove"
"31","altrui"
"32","anche"
"33","ancora"
"34","anni"
"35","anno"
"36","ansa"
"37","anticipo"
"38","assai"
"39","attesa"
"40","attraverso"
"41","avanti"
"42","avemmo"
"43","avendo"
"44","avente"
"45","aver"
"46","avere"
"47","averlo"
"48","avesse"
"49","avessero"
"50","avessi"
"51","avessimo"
"52","aveste"
"53","avesti"
"54","avete"
"55","aveva"
"56","avevamo"
"57","avevano"
"58","avevate"
"59","avevi"
"60","avevo"
"61","avrai"
"62","avranno"
"63","avrebbe"
"64","avrebbero"
"65","avrei"
"66","avremmo"
"67","avremo"
"68","avreste"
"69","avresti"
"70","avrete"
"71","avrà"
"72","avrò"
"73","avuta"
"74","avute"
"75","avuti"
"76","avuto"
"77","basta"
"78","ben"
"79","bene"
"80","benissimo"
"81","berlusconi"
"82","brava"
"83","bravo"
"84","buono"
"85","c"
"86","casa"
"87","caso"
"88","cento"
"89","certa"
"90","certe"
"91","certi"
"92","certo"
"93","che"
"94","chi"
"95","chicchessia"
"96","chiunque"
"97","ci"
"98","ciascuna"
"99","ciascuno"
"100","cima"
"101","cinque"
"102","cio"
"103","cioe"
"104","cioã¨"
"105","cioè"
"106","circa"
"107","citta"
"108","città"
"109","cittã"
"110","ciã²"
"111","ciò"
"112","co"
"113","codesta"
"114","codesti"
"115","codesto"
"116","cogli"
"117","coi"
"118","col"
"119","colei"
"120","coll"
"121","coloro"
"122","colui"
"123","come"
"124","cominci"
"125","comprare"
"126","comunque"
"127","con"
"128","concernente"
"129","conciliarsi"
"130","conclusione"
"131","consecutivi"
"132","consecutivo"
"133","consiglio"
"134","contro"
"135","cortesia"
"136","cos"
"137","cosa"
"138","cosi"
"139","cosã¬"
"140","così"
"141","cui"
"142","d"
"143","da"
"144","dagl"
"145","dagli"
"146","dai"
"147","dal"
"148","dall"
"149","dalla"
"150","dalle"
"151","dallo"
"152","dappertutto"
"153","davanti"
"154","degl"
"155","degli"
"156","dei"
"157","del"
"158","dell"
"159","della"
"160","delle"
"161","dello"
"162","dentro"
"163","detto"
"164","deve"
"165","devo"
"166","di"
"167","dice"
"168","dietro"
"169","dire"
"170","dirimpetto"
"171","diventa"
"172","diventare"
"173","diventato"
"174","dopo"
"175","doppio"
"176","dov"
"177","dove"
"178","dovra"
"179","dovrà"
"180","dovrã"
"181","dovunque"
"182","due"
"183","dunque"
"184","durante"
"185","e"
"186","ebbe"
"187","ebbero"
"188","ebbi"
"189","ecc"
"190","ecco"
"191","ed"
"192","effettivamente"
"193","egli"
"194","ella"
"195","entrambi"
"196","eppure"
"197","era"
"198","erano"
"199","eravamo"
"200","eravate"
"201","eri"
"202","ero"
"203","esempio"
"204","esse"
"205","essendo"
"206","esser"
"207","essere"
"208","essi"
"209","ex"
"210","fa"
"211","faccia"
"212","facciamo"
"213","facciano"
"214","facciate"
"215","faccio"
"216","facemmo"
"217","facendo"
"218","facesse"
"219","facessero"
"220","facessi"
"221","facessimo"
"222","faceste"
"223","facesti"
"224","faceva"
"225","facevamo"
"226","facevano"
"227","facevate"
"228","facevi"
"229","facevo"
"230","fai"
"231","fanno"
"232","farai"
"233","faranno"
"234","fare"
"235","farebbe"
"236","farebbero"
"237","farei"
"238","faremmo"
"239","faremo"
"240","fareste"
"241","faresti"
"242","farete"
"243","farà"
"244","farò"
"245","fatto"
"246","favore"
"247","fece"
"248","fecero"
"249","feci"
"250","fin"
"251","finalmente"
"252","finche"
"253","fine"
"254","fino"
"255","forse"
"256","forza"
"257","fosse"
"258","fossero"
"259","fossi"
"260","fossimo"
"261","foste"
"262","fosti"
"263","fra"
"264","frattempo"
"265","fu"
"266","fui"
"267","fummo"
"268","fuori"
"269","furono"
"270","futuro"
"271","generale"
"272","gente"
"273","gia"
"274","giacche"
"275","giorni"
"276","giorno"
"277","giu"
"278","già"
"279","giã"
"280","gli"
"281","gliela"
"282","gliele"
"283","glieli"
"284","glielo"
"285","gliene"
"286","governo"
"287","grande"
"288","grazie"
"289","gruppo"
"290","ha"
"291","haha"
"292","hai"
"293","hanno"
"294","ho"
"295","i"
"296","ie"
"297","ieri"
"298","il"
"299","improvviso"
"300","in"
"301","inc"
"302","indietro"
"303","infatti"
"304","inoltre"
"305","insieme"
"306","intanto"
"307","intorno"
"308","invece"
"309","io"
"310","l"
"311","la"
"312","lasciato"
"313","lato"
"314","lavoro"
"315","le"
"316","lei"
"317","li"
"318","lo"
"319","lontano"
"320","loro"
"321","lui"
"322","lungo"
"323","luogo"
"324","là"
"325","lã"
"326","ma"
"327","macche"
"328","magari"
"329","maggior"
"330","mai"
"331","male"
"332","malgrado"
"333","malissimo"
"334","mancanza"
"335","marche"
"336","me"
"337","medesimo"
"338","mediante"
"339","meglio"
"340","meno"
"341","mentre"
"342","mesi"
"343","mezzo"
"344","mi"
"345","mia"
"346","mie"
"347","miei"
"348","mila"
"349","miliardi"
"350","milioni"
"351","minimi"
"352","ministro"
"353","mio"
"354","modo"
"355","molta"
"356","molti"
"357","moltissimo"
"358","molto"
"359","momento"
"360","mondo"
"361","mosto"
"362","nazionale"
"363","ne"
"364","negl"
"365","negli"
"366","nei"
"367","nel"
"368","nell"
"369","nella"
"370","nelle"
"371","nello"
"372","nemmeno"
"373","neppure"
"374","nessun"
"375","nessuna"
"376","nessuno"
"377","niente"
"378","no"
"379","noi"
"380","nome"
"381","non"
"382","nondimeno"
"383","nonostante"
"384","nonsia"
"385","nostra"
"386","nostre"
"387","nostri"
"388","nostro"
"389","novanta"
"390","nove"
"391","nulla"
"392","nuovi"
"393","nuovo"
"394","o"
"395","od"
"396","oggi"
"397","ogni"
"398","ognuna"
"399","ognuno"
"400","oltre"
"401","oppure"
"402","ora"
"403","ore"
"404","osi"
"405","ossia"
"406","ottanta"
"407","otto"
"408","paese"
"409","parecchi"
"410","parecchie"
"411","parecchio"
"412","parte"
"413","partendo"
"414","peccato"
"415","peggio"
"416","per"
"417","perche"
"418","perchã¨"
"419","perchè"
"420","perché"
"421","percio"
"422","perciã²"
"423","perciò"
"424","perfino"
"425","pero"
"426","persino"
"427","persone"
"428","perã²"
"429","però"
"430","piedi"
"431","pieno"
"432","piglia"
"433","piu"
"434","piuttosto"
"435","piã¹"
"436","più"
"437","po"
"438","pochissimo"
"439","poco"
"440","poi"
"441","poiche"
"442","possa"
"443","possedere"
"444","posteriore"
"445","posto"
"446","potrebbe"
"447","preferibilmente"
"448","presa"
"449","press"
"450","prima"
"451","primo"
"452","principalmente"
"453","probabilmente"
"454","promesso"
"455","proprio"
"456","puo"
"457","pure"
"458","purtroppo"
"459","puã²"
"460","può"
"461","qua"
"462","qualche"
"463","qualcosa"
"464","qualcuna"
"465","qualcuno"
"466","quale"
"467","quali"
"468","qualunque"
"469","quando"
"470","quanta"
"471","quante"
"472","quanti"
"473","quanto"
"474","quantunque"
"475","quarto"
"476","quasi"
"477","quattro"
"478","quel"
"479","quella"
"480","quelle"
"481","quelli"
"482","quello"
"483","quest"
"484","questa"
"485","queste"
"486","questi"
"487","questo"
"488","qui"
"489","quindi"
"490","quinto"
"491","realmente"
"492","recente"
"493","recentemente"
"494","registrazione"
"495","relativo"
"496","riecco"
"497","rispetto"
"498","salvo"
"499","sara"
"500","sarai"
"501","saranno"
"502","sarebbe"
"503","sarebbero"
"504","sarei"
"505","saremmo"
"506","saremo"
"507","sareste"
"508","saresti"
"509","sarete"
"510","sarà"
"511","sarã"
"512","sarò"
"513","scola"
"514","scopo"
"515","scorso"
"516","se"
"517","secondo"
"518","seguente"
"519","seguito"
"520","sei"
"521","sembra"
"522","sembrare"
"523","sembrato"
"524","sembrava"
"525","sembri"
"526","sempre"
"527","senza"
"528","sette"
"529","si"
"530","sia"
"531","siamo"
"532","siano"
"533","siate"
"534","siete"
"535","sig"
"536","solito"
"537","solo"
"538","soltanto"
"539","sono"
"540","sopra"
"541","soprattutto"
"542","sotto"
"543","spesso"
"544","srl"
"545","sta"
"546","stai"
"547","stando"
"548","stanno"
"549","starai"
"550","staranno"
"551","starebbe"
"552","starebbero"
"553","starei"
"554","staremmo"
"555","staremo"
"556","stareste"
"557","staresti"
"558","starete"
"559","starà"
"560","starò"
"561","stata"
"562","state"
"563","stati"
"564","stato"
"565","stava"
"566","stavamo"
"567","stavano"
"568","stavate"
"569","stavi"
"570","stavo"
"571","stemmo"
"572","stessa"
"573","stesse"
"574","stessero"
"575","stessi"
"576","stessimo"
"577","stesso"
"578","steste"
"579","stesti"
"580","stette"
"581","stettero"
"582","stetti"
"583","stia"
"584","stiamo"
"585","stiano"
"586","stiate"
"587","sto"
"588","su"
"589","sua"
"590","subito"
"591","successivamente"
"592","successivo"
"593","sue"
"594","sugl"
"595","sugli"
"596","sui"
"597","sul"
"598","sull"
"599","sulla"
"600","sulle"
"601","sullo"
"602","suo"
"603","suoi"
"604","tale"
"605","tali"
"606","talvolta"
"607","tanto"
"608","te"
"609","tempo"
"610","terzo"
"611","th"
"612","ti"
"613","titolo"
"614","torino"
"615","tra"
"616","tranne"
"617","tre"
"618","trenta"
"619","triplo"
"620","troppo"
"621","trovato"
"622","tu"
"623","tua"
"624","tue"
"625","tuo"
"626","tuoi"
"627","tutta"
"628","tuttavia"
"629","tutte"
"630","tutti"
"631","tutto"
"632","uguali"
"633","ulteriore"
"634","ultimo"
"635","un"
"636","una"
"637","uno"
"638","uomo"
"639","va"
"640","vai"
"641","vale"
"642","vari"
"643","varia"
"644","varie"
"645","vario"
"646","verso"
"647","vi"
"648","via"
"649","vicino"
"650","visto"
"651","vita"
"652","voi"
"653","volta"
"654","volte"
"655","vostra"
"656","vostre"
"657","vostri"
"658","vostro"
"659","ã¨"
"660","è"
"661","'ll"
"662","'tis"
"663","'twas"
"664","'ve"
"665","10"
"666","39"
"667","a"
"668","a's"
"669","able"
"670","ableabout"
"671","about"
"672","above"
"673","abroad"
"674","abst"
"675","accordance"
"676","according"
"677","accordingly"
"678","across"
"679","act"
"680","actually"
"681","ad"
"682","added"
"683","adj"
"684","adopted"
"685","ae"
"686","af"
"687","affected"
"688","affecting"
"689","affects"
"690","after"
"691","afterwards"
"692","ag"
"693","again"
"694","against"
"695","ago"
"696","ah"
"697","ahead"
"698","ai"
"699","ain't"
"700","aint"
"701","al"
"702","all"
"703","allow"
"704","allows"
"705","almost"
"706","alone"
"707","along"
"708","alongside"
"709","already"
"710","also"
"711","although"
"712","always"
"713","am"
"714","amid"
"715","amidst"
"716","among"
"717","amongst"
"718","amoungst"
"719","amount"
"720","an"
"721","and"
"722","announce"
"723","another"
"724","any"
"725","anybody"
"726","anyhow"
"727","anymore"
"728","anyone"
"729","anything"
"730","anyway"
"731","anyways"
"732","anywhere"
"733","ao"
"734","apart"
"735","apparently"
"736","appear"
"737","appreciate"
"738","appropriate"
"739","approximately"
"740","aq"
"741","ar"
"742","are"
"743","area"
"744","areas"
"745","aren"
"746","aren't"
"747","arent"
"748","arise"
"749","around"
"750","arpa"
"751","as"
"752","aside"
"753","ask"
"754","asked"
"755","asking"
"756","asks"
"757","associated"
"758","at"
"759","au"
"760","auth"
"761","available"
"762","aw"
"763","away"
"764","awfully"
"765","az"
"766","b"
"767","ba"
"768","back"
"769","backed"
"770","backing"
"771","backs"
"772","backward"
"773","backwards"
"774","bb"
"775","bd"
"776","be"
"777","became"
"778","because"
"779","become"
"780","becomes"
"781","becoming"
"782","been"
"783","before"
"784","beforehand"
"785","began"
"786","begin"
"787","beginning"
"788","beginnings"
"789","begins"
"790","behind"
"791","being"
"792","beings"
"793","believe"
"794","below"
"795","beside"
"796","besides"
"797","best"
"798","better"
"799","between"
"800","beyond"
"801","bf"
"802","bg"
"803","bh"
"804","bi"
"805","big"
"806","bill"
"807","billion"
"808","biol"
"809","bj"
"810","bm"
"811","bn"
"812","bo"
"813","both"
"814","bottom"
"815","br"
"816","brief"
"817","briefly"
"818","bs"
"819","bt"
"820","but"
"821","buy"
"822","bv"
"823","bw"
"824","by"
"825","bz"
"826","c"
"827","c'mon"
"828","c's"
"829","ca"
"830","call"
"831","came"
"832","can"
"833","can't"
"834","cannot"
"835","cant"
"836","caption"
"837","case"
"838","cases"
"839","cause"
"840","causes"
"841","cc"
"842","cd"
"843","certain"
"844","certainly"
"845","cf"
"846","cg"
"847","ch"
"848","changes"
"849","ci"
"850","ck"
"851","cl"
"852","clear"
"853","clearly"
"854","click"
"855","cm"
"856","cmon"
"857","cn"
"858","co"
"859","co."
"860","com"
"861","come"
"862","comes"
"863","computer"
"864","con"
"865","concerning"
"866","consequently"
"867","consider"
"868","considering"
"869","contain"
"870","containing"
"871","contains"
"872","copy"
"873","corresponding"
"874","could"
"875","could've"
"876","couldn"
"877","couldn't"
"878","couldnt"
"879","course"
"880","cr"
"881","cry"
"882","cs"
"883","cu"
"884","currently"
"885","cv"
"886","cx"
"887","cy"
"888","cz"
"889","d"
"890","dare"
"891","daren't"
"892","darent"
"893","date"
"894","de"
"895","dear"
"896","definitely"
"897","describe"
"898","described"
"899","despite"
"900","detail"
"901","did"
"902","didn"
"903","didn't"
"904","didnt"
"905","differ"
"906","different"
"907","differently"
"908","directly"
"909","dj"
"910","dk"
"911","dm"
"912","do"
"913","does"
"914","doesn"
"915","doesn't"
"916","doesnt"
"917","doing"
"918","don"
"919","don't"
"920","done"
"921","dont"
"922","doubtful"
"923","down"
"924","downed"
"925","downing"
"926","downs"
"927","downwards"
"928","due"
"929","during"
"930","dz"
"931","e"
"932","each"
"933","early"
"934","ec"
"935","ed"
"936","edu"
"937","ee"
"938","effect"
"939","eg"
"940","eh"
"941","eight"
"942","eighty"
"943","either"
"944","eleven"
"945","else"
"946","elsewhere"
"947","empty"
"948","end"
"949","ended"
"950","ending"
"951","ends"
"952","enough"
"953","entirely"
"954","er"
"955","es"
"956","especially"
"957","et"
"958","et-al"
"959","etc"
"960","even"
"961","evenly"
"962","ever"
"963","evermore"
"964","every"
"965","everybody"
"966","everyone"
"967","everything"
"968","everywhere"
"969","ex"
"970","exactly"
"971","example"
"972","except"
"973","f"
"974","face"
"975","faces"
"976","fact"
"977","facts"
"978","fairly"
"979","far"
"980","farther"
"981","felt"
"982","few"
"983","fewer"
"984","ff"
"985","fi"
"986","fifteen"
"987","fifth"
"988","fifty"
"989","fify"
"990","fill"
"991","find"
"992","finds"
"993","fire"
"994","first"
"995","five"
"996","fix"
"997","fj"
"998","fk"
"999","fm"
"1000","fo"
"1001","followed"
"1002","following"
"1003","follows"
"1004","for"
"1005","forever"
"1006","former"
"1007","formerly"
"1008","forth"
"1009","forty"
"1010","forward"
"1011","found"
"1012","four"
"1013","fr"
"1014","free"
"1015","from"
"1016","front"
"1017","full"
"1018","fully"
"1019","further"
"1020","furthered"
"1021","furthering"
"1022","furthermore"
"1023","furthers"
"1024","fx"
"1025","g"
"1026","ga"
"1027","gave"
"1028","gb"
"1029","gd"
"1030","ge"
"1031","general"
"1032","generally"
"1033","get"
"1034","gets"
"1035","getting"
"1036","gf"
"1037","gg"
"1038","gh"
"1039","gi"
"1040","give"
"1041","given"
"1042","gives"
"1043","giving"
"1044","gl"
"1045","gm"
"1046","gmt"
"1047","gn"
"1048","go"
"1049","goes"
"1050","going"
"1051","gone"
"1052","good"
"1053","goods"
"1054","got"
"1055","gotten"
"1056","gov"
"1057","gp"
"1058","gq"
"1059","gr"
"1060","great"
"1061","greater"
"1062","greatest"
"1063","greetings"
"1064","group"
"1065","grouped"
"1066","grouping"
"1067","groups"
"1068","gs"
"1069","gt"
"1070","gu"
"1071","gw"
"1072","gy"
"1073","h"
"1074","had"
"1075","hadn't"
"1076","hadnt"
"1077","half"
"1078","happens"
"1079","hardly"
"1080","has"
"1081","hasn"
"1082","hasn't"
"1083","hasnt"
"1084","have"
"1085","haven"
"1086","haven't"
"1087","havent"
"1088","having"
"1089","he"
"1090","he'd"
"1091","he'll"
"1092","he's"
"1093","hed"
"1094","hell"
"1095","hello"
"1096","help"
"1097","hence"
"1098","her"
"1099","here"
"1100","here's"
"1101","hereafter"
"1102","hereby"
"1103","herein"
"1104","heres"
"1105","hereupon"
"1106","hers"
"1107","herself"
"1108","herse”"
"1109","hes"
"1110","hi"
"1111","hid"
"1112","high"
"1113","higher"
"1114","highest"
"1115","him"
"1116","himself"
"1117","himse”"
"1118","his"
"1119","hither"
"1120","hk"
"1121","hm"
"1122","hn"
"1123","home"
"1124","homepage"
"1125","hopefully"
"1126","how"
"1127","how'd"
"1128","how'll"
"1129","how's"
"1130","howbeit"
"1131","however"
"1132","hr"
"1133","ht"
"1134","htm"
"1135","html"
"1136","http"
"1137","hu"
"1138","hundred"
"1139","i"
"1140","i'd"
"1141","i'll"
"1142","i'm"
"1143","i've"
"1144","i.e."
"1145","id"
"1146","ie"
"1147","if"
"1148","ignored"
"1149","ii"
"1150","il"
"1151","ill"
"1152","im"
"1153","immediate"
"1154","immediately"
"1155","importance"
"1156","important"
"1157","in"
"1158","inasmuch"
"1159","inc"
"1160","inc."
"1161","indeed"
"1162","index"
"1163","indicate"
"1164","indicated"
"1165","indicates"
"1166","information"
"1167","inner"
"1168","inside"
"1169","insofar"
"1170","instead"
"1171","int"
"1172","interest"
"1173","interested"
"1174","interesting"
"1175","interests"
"1176","into"
"1177","invention"
"1178","inward"
"1179","io"
"1180","iq"
"1181","ir"
"1182","is"
"1183","isn"
"1184","isn't"
"1185","isnt"
"1186","it"
"1187","it'd"
"1188","it'll"
"1189","it's"
"1190","itd"
"1191","itll"
"1192","its"
"1193","itself"
"1194","itse”"
"1195","ive"
"1196","j"
"1197","je"
"1198","jm"
"1199","jo"
"1200","join"
"1201","jp"
"1202","just"
"1203","k"
"1204","ke"
"1205","keep"
"1206","keeps"
"1207","kept"
"1208","keys"
"1209","kg"
"1210","kh"
"1211","ki"
"1212","kind"
"1213","km"
"1214","kn"
"1215","knew"
"1216","know"
"1217","known"
"1218","knows"
"1219","kp"
"1220","kr"
"1221","kw"
"1222","ky"
"1223","kz"
"1224","l"
"1225","la"
"1226","large"
"1227","largely"
"1228","last"
"1229","lately"
"1230","later"
"1231","latest"
"1232","latter"
"1233","latterly"
"1234","lb"
"1235","lc"
"1236","least"
"1237","length"
"1238","less"
"1239","lest"
"1240","let"
"1241","let's"
"1242","lets"
"1243","li"
"1244","like"
"1245","liked"
"1246","likely"
"1247","likewise"
"1248","line"
"1249","little"
"1250","lk"
"1251","ll"
"1252","long"
"1253","longer"
"1254","longest"
"1255","look"
"1256","looking"
"1257","looks"
"1258","low"
"1259","lower"
"1260","lr"
"1261","ls"
"1262","lt"
"1263","ltd"
"1264","lu"
"1265","lv"
"1266","ly"
"1267","m"
"1268","ma"
"1269","made"
"1270","mainly"
"1271","make"
"1272","makes"
"1273","making"
"1274","man"
"1275","many"
"1276","may"
"1277","maybe"
"1278","mayn't"
"1279","maynt"
"1280","mc"
"1281","md"
"1282","me"
"1283","mean"
"1284","means"
"1285","meantime"
"1286","meanwhile"
"1287","member"
"1288","members"
"1289","men"
"1290","merely"
"1291","mg"
"1292","mh"
"1293","microsoft"
"1294","might"
"1295","might've"
"1296","mightn't"
"1297","mightnt"
"1298","mil"
"1299","mill"
"1300","million"
"1301","mine"
"1302","minus"
"1303","miss"
"1304","mk"
"1305","ml"
"1306","mm"
"1307","mn"
"1308","mo"
"1309","more"
"1310","moreover"
"1311","most"
"1312","mostly"
"1313","move"
"1314","mp"
"1315","mq"
"1316","mr"
"1317","mrs"
"1318","ms"
"1319","msie"
"1320","mt"
"1321","mu"
"1322","much"
"1323","mug"
"1324","must"
"1325","must've"
"1326","mustn't"
"1327","mustnt"
"1328","mv"
"1329","mw"
"1330","mx"
"1331","my"
"1332","myself"
"1333","myse”"
"1334","mz"
"1335","n"
"1336","na"
"1337","name"
"1338","namely"
"1339","nay"
"1340","nc"
"1341","nd"
"1342","ne"
"1343","near"
"1344","nearly"
"1345","necessarily"
"1346","necessary"
"1347","need"
"1348","needed"
"1349","needing"
"1350","needn't"
"1351","neednt"
"1352","needs"
"1353","neither"
"1354","net"
"1355","netscape"
"1356","never"
"1357","neverf"
"1358","neverless"
"1359","nevertheless"
"1360","new"
"1361","newer"
"1362","newest"
"1363","next"
"1364","nf"
"1365","ng"
"1366","ni"
"1367","nine"
"1368","ninety"
"1369","nl"
"1370","no"
"1371","no-one"
"1372","nobody"
"1373","non"
"1374","none"
"1375","nonetheless"
"1376","noone"
"1377","nor"
"1378","normally"
"1379","nos"
"1380","not"
"1381","noted"
"1382","nothing"
"1383","notwithstanding"
"1384","novel"
"1385","now"
"1386","nowhere"
"1387","np"
"1388","nr"
"1389","nu"
"1390","null"
"1391","number"
"1392","numbers"
"1393","nz"
"1394","o"
"1395","obtain"
